,AP,x_coordinate(m),y_coordinate(m),floor
99,Bldg3AP49,21779,32818,5.0
100,Bldg3AP50,21779,32818,6.0
101,Bldg3AP51,21779,32818,6.0
102,Bldg3AP52,21779,32818,7.0
103,Bldg3AP53,21779,32818,7.0
104,Bldg3AP54,21779,32818,7.0
105,Bldg3AP55,21779,32818,8.0
106,Bldg3AP56,21844,32793,4.0
107,Bldg3AP57,21844,32793,4.0
108,Bldg3AP58,21844,32793,5.0
109,Bldg3AP59,21844,32793,5.0
110,Bldg3AP60,21844,32793,5.0
111,Bldg3AP61,21844,32793,5.0
112,Bldg3AP62,21844,32793,5.0
113,Bldg3AP63,21844,32793,6.0
114,Bldg3AP64,21844,32793,6.0
115,Bldg3AP65,21844,32793,6.0
116,Bldg3AP66,21844,32793,6.0
117,Bldg3AP67,21844,32793,6.0
118,Bldg3AP68,21844,32793,7.0
119,Bldg3AP69,21844,32793,7.0
120,Bldg3AP70,21844,32793,7.0
121,Bldg3AP71,21804,32683,4.0
122,Bldg3AP72,21804,32683,4.0
123,Bldg3AP73,21804,32683,4.0
124,Bldg3AP74,21804,32683,4.0
125,Bldg3AP75,21804,32683,4.0
126,Bldg3AP76,21804,32683,4.0
127,Bldg3AP77,21804,32683,5.0
128,Bldg3AP78,21804,32683,5.0
129,Bldg3AP79,21804,32683,5.0
130,Bldg3AP80,21804,32683,5.0
131,Bldg3AP81,21804,32683,5.0
132,Bldg3AP82,21804,32683,5.0
133,Bldg3AP83,21804,32683,6.0
134,Bldg3AP84,21804,32683,6.0
135,Bldg3AP85,21804,32683,6.0
136,Bldg3AP86,21804,32683,6.0
137,Bldg3AP87,21804,32683,6.0
138,Bldg3AP88,21804,32683,6.0
139,Bldg3AP89,21804,32683,4.0
140,Bldg3AP90,21804,32683,7.0
141,Bldg3AP91,21728,32711,3.0
142,Bldg3AP92,21728,32711,3.0
143,Bldg3AP93,21728,32711,3.0
144,Bldg3AP94,21728,32711,3.0
145,Bldg3AP95,21728,32711,3.0
146,Bldg3AP96,21728,32711,3.0
147,Bldg3AP97,21748,32768,3.0
148,Bldg3AP98,21748,32768,3.0
149,Bldg3AP99,21728,32711,3.0
150,Bldg3AP100,21728,32711,3.0
151,Bldg3AP101,21728,32711,4.0
152,Bldg3AP102,21728,32711,4.0
153,Bldg3AP103,21728,32711,5.0
154,Bldg3AP104,21728,32711,5.0
155,Bldg3AP105,21728,32711,5.0
156,Bldg3AP106,21728,32711,5.0
157,Bldg3AP107,21728,32711,5.0
158,Bldg3AP108,21728,32711,5.0
159,Bldg3AP109,21728,32711,5.0
160,Bldg3AP110,21748,32768,5.0
161,Bldg3AP111,21728,32711,6.0
162,Bldg3AP112,21728,32711,6.0
163,Bldg3AP113,21779,32818,4.0
164,Bldg3AP114,21779,32818,5.0
165,Bldg3AP115,21779,32818,5.0
166,Bldg3AP116,21779,32818,6.0
167,Bldg3AP117,21844,32793,4.0
168,Bldg3AP118,21844,32793,4.0
169,Bldg3AP119,21844,32793,9.0
170,Bldg3AP120,21804,32683,3.0
171,Bldg3AP121,21804,32683,3.0
172,Bldg3AP122,21804,32683,3.0
173,Bldg3AP123,21804,32683,3.0
174,Bldg3AP124,21804,32683,4.0
175,Bldg3AP125,21804,32683,4.0
176,Bldg3AP126,21804,32683,4.0
177,Bldg3AP127,21804,32683,4.0
178,Bldg3AP128,21836,32737,4.0
179,Bldg3AP129,21804,32683,5.0
180,Bldg3AP130,21804,32683,5.0
181,Bldg3AP131,21804,32683,5.0
182,Bldg3AP132,21804,32683,5.0
183,Bldg3AP133,21804,32683,5.0
184,Bldg3AP134,21836,32737,5.0
185,Bldg3AP135,21804,32683,6.0
186,Bldg3AP136,21804,32683,
187,Bldg3AP137,21804,32683,
188,Bldg3AP138,21804,32683,
189,Bldg4AP1,21613,32759,
190,Bldg4AP2,21613,32759,
191,Bldg4AP3,21613,32759,
192,Bldg4AP4,21613,32759,
193,Bldg4AP5,21613,32759,
194,Bldg4AP6,21613,32759,
195,Bldg4AP7,21613,32759,3.0
196,Bldg4AP8,21613,32759,2.0
197,Bldg4AP9,21613,32759,2.0
198,Bldg4AP10,21613,32759,2.0
199,Bldg4AP11,21613,32759,0.0
200,Bldg4AP12,21613,32759,0.0
201,Bldg4AP13,21613,32759,1.0
202,Bldg4AP14,21613,32759,1.0
203,Bldg4AP15,21613,32759,1.0
