AP,x_coordinate(m),y_coordinate(m),floor
Bldg14AP21,21675,32938,2
Bldg14AP22,21675,32938,2
Bldg14AP23,21675,32938,2
Bldg14AP24,21692,32884,3
Bldg14AP25,21692,32884,3
Bldg14AP26,21692,32884,3
Bldg14AP27,21675,32938,3
Bldg14AP28,21692,32884,4
Bldg14AP29,21692,32884,4
Bldg14AP30,21692,32884,5
Bldg14AP31,21692,32884,5
Bldg14AP32,21675,32938,0
Bldg14AP33,21675,32938,0
Bldg14AP34,21692,32884,0
Bldg14AP35,21692,32884,0
Bldg14AP36,21692,32884,0
Bldg14AP37,21692,32884,0
Bldg14AP38,21692,32884,-1
Bldg14AP39,21675,32938,0
Bldg14AP40,21675,32938,-1
Bldg14AP41,21692,32884,0
Bldg14AP42,21675,32938,0
Bldg14AP43,21675,32938,3
Bldg15AP1,21824,32935,3
Bldg15AP2,21824,32935,4
Bldg15AP3,21824,32935,6
Bldg15AP4,21824,32935,5
Bldg15AP5,21824,32935,3
Bldg15AP6,21824,32935,3
Bldg15AP7,21824,32935,5
Bldg15AP8,21824,32935,5
Bldg15AP9,21824,32935,5
Bldg15AP10,21824,32935,5
Bldg15AP11,21824,32935,5
Bldg15AP12,21824,32935,5
Bldg15AP13,21824,32935,5
Bldg15AP14,21824,32935,5
Bldg15AP15,21824,32935,5
Bldg15AP16,21824,32935,5
Bldg15AP17,21824,32935,5
Bldg15AP18,21824,32935,5
Bldg15AP19,21824,32935,6
Bldg15AP20,21824,32935,7
Bldg15AP21,21824,32935,3
Bldg16AP1,21763,32993,5
Bldg16AP2,21705,32988,5
Bldg16AP3,21763,32993,2
Bldg16AP4,21763,32993,3
Bldg16AP5,21763,32993,3
Bldg16AP6,21763,32993,3
Bldg16AP7,21763,32993,5
Bldg16AP8,21763,32993,3
Bldg16AP9,21763,32993,3
Bldg16AP10,21763,32993,4
Bldg16AP11,21763,32993,4
Bldg16AP12,21740,33078,2
Bldg16AP13,21740,33078,3
Bldg16AP14,21740,33078,3
Bldg16AP15,21740,33078,4
Bldg16AP16,21740,33078,4
Bldg16AP17,21705,32988,4
Bldg16AP18,21705,32988,5
Bldg16AP19,21705,32988,5
Bldg16AP20,21705,32988,2
Bldg16AP21,21705,32988,2
Bldg16AP22,21705,32988,3
Bldg16AP23,21705,32988,4
Bldg16AP24,21763,32993,1
Bldg16AP25,21763,32993,3
Bldg16AP26,21763,32993,3
Bldg16AP27,21763,32993,4
Bldg16AP28,21763,32993,5
Bldg16AP29,21763,32993,2
Bldg16AP30,21763,32993,2
Bldg16AP31,21763,32993,4
Bldg16AP32,21740,33078,2
Bldg16AP33,21740,33078,5
Bldg16AP34,21705,32988,3
Bldg16AP35,21705,32988,NA
Bldg16AP36,21763,32993,NA
Bldg16AP37,21705,32988,NA
Bldg17AP1,21814,32985,6
Bldg17AP2,21814,32985,2
Bldg17AP3,21814,32985,2
Bldg17AP4,21814,32985,3
Bldg17AP5,21814,32985,3
Bldg17AP6,21814,32985,3
Bldg17AP7,21814,32985,4
Bldg17AP8,21814,32985,4
Bldg17AP9,21814,32985,4
Bldg17AP10,21814,32985,4
Bldg17AP11,21814,32985,4
Bldg17AP12,21814,32985,5
Bldg17AP13,21814,32985,5
Bldg17AP14,21814,32985,6
Bldg17AP15,21814,32985,6
Bldg18AP1,21799,33017,3
Bldg18AP2,21799,33017,3
Bldg18AP3,21799,33017,3
Bldg18AP4,21799,33017,3
Bldg18AP5,21799,33017,4
Bldg18AP6,21799,33017,4
Bldg18AP7,21799,33017,5
Bldg18AP8,21799,33017,5
Bldg18AP9,21799,33017,5
Bldg18AP10,21799,33017,6
Bldg18AP11,21799,33017,6
Bldg18AP12,21799,33017,6
Bldg19AP1,21838,33058,3
Bldg19AP2,21838,33058,2
Bldg19AP3,21838,33058,3
Bldg19AP4,21838,33058,3
Bldg19AP5,21838,33058,3
Bldg19AP6,21838,33058,5
Bldg19AP7,21838,33058,5
Bldg19AP8,21838,33058,5
Bldg19AP9,21838,33058,2
Bldg19AP10,21838,33058,2
Bldg19AP11,21838,33058,2
Bldg19AP12,21838,33058,2
Bldg19AP13,21838,33058,2
Bldg19AP14,21838,33058,2
Bldg19AP15,21838,33058,2
Bldg19AP16,21838,33058,4
Bldg19AP17,21838,33058,4
Bldg19AP18,21838,33058,4
Bldg19AP19,21838,33058,5
Bldg19AP20,21838,33058,2
Bldg20AP1,21510,33050,3
Bldg20AP2,21510,33050,2
Bldg20AP3,21510,33050,2
Bldg20AP4,21510,33050,2
Bldg20AP5,21510,33050,3
Bldg20AP6,21510,33050,3
Bldg20AP7,21510,33050,3
Bldg20AP8,21510,33050,3
Bldg20AP9,21510,33050,3
Bldg20AP10,21510,33050,3
Bldg20AP11,21510,33050,4
Bldg20AP12,21510,33050,4
Bldg20AP13,21510,33050,4
Bldg20AP14,21510,33050,5
Bldg20AP15,21510,33050,5
Bldg20AP16,21510,33050,5
Bldg20AP17,21510,33050,5
Bldg20AP18,21510,33050,6
Bldg20AP19,21510,33050,6
Bldg20AP20,21510,33050,6
Bldg20AP21,21510,33050,2
Bldg20AP22,21510,33050,2
Bldg20AP23,21510,33050,2
Bldg20AP24,21510,33050,2
Bldg20AP25,21510,33050,2
Bldg20AP26,21510,33050,2
Bldg20AP27,21510,33050,3
Bldg20AP28,21510,33050,3
Bldg20AP29,21510,33050,4
Bldg20AP30,21510,33050,4
Bldg20AP31,21510,33050,4
Bldg20AP32,21510,33050,4
Bldg20AP33,21510,33050,5
Bldg20AP34,21510,33050,5
Bldg20AP35,21510,33050,5
Bldg20AP36,21510,33050,7
Bldg21AP1,20908,33302,
Bldg21AP2,20908,33302,2
Bldg21AP3,20908,33302,2
Bldg21AP4,20908,33302,3
Bldg21AP5,20908,33302,3
Bldg21AP6,20908,33302,4
Bldg21AP7,20908,33302,4
Bldg21AP8,20908,33302,4
Bldg22AP1,21740,32857,2
Bldg22AP2,21740,32857,3
Bldg22AP3,21740,32857,3
Bldg22AP4,21740,32857,3
Bldg22AP5,21740,32857,3
Bldg22AP6,21740,32857,3
Bldg22AP7,21740,32857,3
Bldg22AP8,21740,32857,2
Bldg22AP9,21740,32857,3
Bldg22AP10,21740,32857,4
Bldg22AP11,21740,32857,4
Bldg22AP12,21740,32857,5
Bldg22AP13,21740,32857,5
Bldg22AP14,21740,32857,6
Bldg22AP15,21740,32857,6
Bldg22AP16,21740,32857,7
Bldg22AP17,21740,32857,7
Bldg22AP18,21740,32857,7
Bldg22AP19,21740,32857,3
Bldg22AP20,21740,32857,3
Bldg22AP21,21740,32857,4
Bldg22AP22,21740,32857,4
Bldg22AP23,21740,32857,5
Bldg22AP24,21740,32857,6
Bldg23AP1,21606,33017,2
Bldg23AP2,21606,33017,5
Bldg23AP3,21606,33017,10
Bldg23AP4,21606,33017,11
Bldg23AP5,21606,33017,3
Bldg23AP6,21606,33017,3
Bldg23AP7,21606,33017,4
Bldg23AP8,21606,33017,4
Bldg23AP9,21606,33017,4
Bldg23AP10,21606,33017,5
Bldg23AP11,21606,33017,5
Bldg23AP12,21606,33017,6
Bldg23AP13,21606,33017,6
Bldg23AP14,21606,33017,7
Bldg23AP15,21606,33017,8
Bldg23AP16,21606,33017,8
Bldg23AP17,21606,33017,9
Bldg23AP18,21606,33017,NA
Bldg23AP19,21606,33017,10
Bldg23AP20,21606,33017,10
Bldg23AP21,21606,33017,11
Bldg23AP22,21606,33017,11
Bldg23AP23,21606,33017,2
Bldg23AP24,21606,33017,2
Bldg23AP25,21606,33017,2
Bldg23AP26,21606,33017,3
Bldg23AP27,21606,33017,3
Bldg23AP28,21606,33017,4
Bldg23AP29,21606,33017,4
Bldg23AP30,21606,33017,4
Bldg23AP31,21606,33017,4
Bldg23AP32,21606,33017,4
Bldg23AP33,21606,33017,5
Bldg23AP34,21606,33017,5
Bldg23AP35,21606,33017,5
Bldg23AP36,21606,33017,5
Bldg23AP37,21606,33017,6
Bldg23AP38,21606,33017,6
Bldg23AP39,21606,33017,6
Bldg23AP40,21606,33017,7
Bldg23AP41,21606,33017,7
Bldg23AP42,21606,33017,8
Bldg23AP43,21606,33017,8
Bldg23AP44,21606,33017,9
Bldg23AP45,21606,33017,9
Bldg23AP46,21606,33017,9
Bldg24AP1,20908,33337,2
Bldg24AP2,20908,33337,2
Bldg24AP3,20908,33337,3
Bldg24AP4,20908,33337,2
Bldg24AP5,20908,33337,3
Bldg24AP6,20908,33337,3
Bldg25AP1,21408,33024,2
Bldg25AP2,21408,33024,2
Bldg25AP3,21408,33024,2
Bldg25AP4,21408,33024,3
Bldg25AP5,21408,33024,3
Bldg25AP6,21408,33024,4
Bldg25AP7,21408,33024,4
Bldg25AP8,21408,33024,6
Bldg25AP9,21408,33024,7
Bldg25AP10,21408,33024,2
Bldg25AP11,21408,33024,2
Bldg25AP12,21408,33024,2
Bldg25AP13,21408,33024,3
Bldg25AP14,21408,33024,3
Bldg25AP15,21408,33024,5
Bldg25AP16,21408,33024,7
Bldg25AP17,21408,33024,7
Bldg25AP18,21408,33024,2
Bldg25AP19,21408,33024,3
Bldg25AP20,21408,33024,5
Bldg25AP21,21408,33024,7
Bldg25AP22,21408,33024,8
Bldg25AP23,21408,33024,4
Bldg25AP24,21408,33024,NA
Bldg26AP1,21399,33054,5
Bldg26AP2,21399,33054,4
Bldg26AP3,21399,33054,2
Bldg26AP4,21399,33054,3
Bldg26AP5,21399,33054,3
Bldg26AP6,21399,33054,3
Bldg26AP7,21399,33054,3
Bldg26AP8,21399,33054,3
Bldg26AP9,21399,33054,4
Bldg26AP10,21399,33054,5
Bldg26AP11,21399,33054,6
Bldg26AP12,21399,33054,7
Bldg26AP13,21399,33054,6
Bldg26AP14,21399,33054,4
Bldg26AP15,21399,33054,2
Bldg26AP16,21399,33054,2
Bldg26AP17,21399,33054,2
Bldg26AP18,21399,33054,3
Bldg26AP19,21399,33054,3
Bldg26AP20,21399,33054,3
Bldg26AP21,21399,33054,5
Bldg26AP22,21399,33054,6
Bldg26AP23,21399,33054,1
Bldg26AP24,21399,33054,1
Bldg26AP25,21399,33054,2
Bldg26AP26,21399,33054,2
Bldg26AP27,21399,33054,2
Bldg26AP28,21399,33054,3
Bldg26AP29,21399,33054,3
Bldg26AP30,21399,33054,2
Bldg26AP31,21399,33054,NA
Bldg26AP32,21399,33054,NA
Bldg26AP33,21399,33054,NA
Bldg26AP34,21399,33054,NA
Bldg27AP1,21419,33059,4
Bldg27AP2,21419,33059,4
